Sr No, Blood Bank Name, State, District, City, Address, Website, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, Latitude, Longitude
1292,District General Hospital Blood Bank Amravati,Maharashtra,AMRAVATI,Amravati,"Dr. Babasaheb Ambedkar Chowk, District General Hospital Blood Bank, Amaravati",,MD (Pathology),Government,YES,YES,24 Hours,20.93386,77.760815
1293,Shri Balaji Blood Bank & component lab Amravati,Maharashtra,AMRAVATI,Amravati,"1st Floor, Alsi Complex, Ambapeth, Amravati
",,MBBS (Trained in Transfusion Medicine - TATA HOSP.),Charity,YES,YES,24x7,20.928177,77.756362
1294,Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank,Maharashtra,AMRAVATI,Amravati,"Block-A,1st Floor, Shivaji Nagar, Amravati 
",,MBBS,Charity,YES,YES,24x7,20.923,77.816645
1295,Sant Gadgebaba Blood Bank and Component Centre Badnera,Maharashtra,AMRAVATI,Amravati,"Opposite to Shrihari Hospital, Juni Vasti (Old Town), Badnera  Amravati
",,,Charity,YES,NO,24x7,20.794116,77.709547
1296,Dr. Late Sadanadaji Burma Memorial Blood Bank,Maharashtra,AMRAVATI,Amravati,"Plot No- 53, Sheet No-20c, Gvalipura,  Sadar Bazar, Paratwada, Amravati
",,MBBS,Charity,NO,NO,24x7,21.298921,77.518316
1297,Regional Blood Bank Government Medical College and Hospital,Maharashtra,AURANGABAD,Aurangabad,"Regional Blood Bank Government Medical College and Hospital, Aurangabad, (GHATI)",,"MBBS, MD (Pathology)",Government,YES,,24 hrs,19.890542,75.317164
1298,Mahatma Gandhi Mishan (MGM) Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Mahatma Gandhi Mishan Medical College & Hospital Blood Bank, N-6, Town Center,  CIDCO,  Aurangabad ",,MD (Pathology),Charity,YES,YES,24x7,19.877896,75.354519
1299,Dattaji Bhale Blood Bank - Hedgewar Hospital,Maharashtra,AURANGABAD,Aurangabad,"C/o. Dr. Hegdewar Rugnalaya Campus, Near Gajanan Mandir, Jawahar Colony Road, Garkheda Parisar,  Aurangabad
",http://www.dattajibhalebloodbank.org/,MD (Pathology),Charity,YES,YES,24 hrs,19.876165,75.343313
1300,Lokmanya Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Gopinath Chember,  Basement Floor, Behind Jaydev Travels, Adalat Road,  Aurangabad ",,MD (Pathology),Charity,YES,NO,24x7,19.872123,75.323251
1301,Seth Nandlal Dhoot Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Plot No A-1, MIDC Chikalthana, Jalna Road, Aurangabad
",,MBBS,Charity,YES,YES,24x7,19.872742,75.387668
1302,Arpan Voluntary (Marathwada)  Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"2nd Floor, Soniya Chambers, Near Uddhanpula, Seven Hills, Jalna Road, Aurangabad
",,"MBBS, MD (Pathology)",Charity,YES,NO,24x7,19.875504,75.352445
1303,Amruta Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Shop No- 102/103, 1st Floor ,Nano Comlex Near Shanoormiya Arga, Vegetable Arket, Shahnoorwadi, Aurangabad
",,"MBBS, DCP",Charity,YES,NO,24x7,19.855842,75.338268
1304,Aurangabad Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Opposite to Sparsh Hospital, Jawahar Nagar Akashwani Aurangabad
",,DCP,Charity,YES,NO,24x7,19.873384,75.344972
1305,Lions Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"1st Floor, above Lions  Balsadan, Near Teg Bahadur English School, Osmanpura, Aurangabad ",,"MBBS, DPB",Charity,YES,YES,24x7,19.87244,75.323188
1306,Civil Surgeon General Hospital Blood Bank,Maharashtra,BEED,Beed,"Civil Surgeon District General Hospital, Barshi Road, Beed  ",,MD (Pathology),Government,YES,,24x7,18.986918,75.75332
1307,Swami Ramanand Tirth Arben Medical College Hospital Blood Bank,Maharashtra,BEED,Beed,"Swami Ramanand Tirth Arben Medical College Hospital Ambajogai Tq. Ambajogai,  Beed",,MBBS,Government,YES,NO,24x7,18.731377,76.370902
1308,Vaidynath Blood Bank,Maharashtra,BEED,Beed,"Mundhe Children Hospital, Near Dube Petrol Pump, Jai Nagar, Parli-Vaijnath, Beed",,MBBS,Charity,NO,NO,24x7,18.842659,76.535058
1309,Navjivan Blood Bank,Maharashtra,BEED,Beed,"Plot No 2-10-240 1 st Floor, Jalna Road, Opposite to M.S.E.B. Office, Beed ",,,Charity,,,,19.000048,75.755254
1310,Arpan Blood Bank Beed,Maharashtra,BEED,Beed,"3rd Floor, Thorat Multispeciality Hospital, D.P. Road, Anand Nagar, Ambejogai, Dist - Beed,
",,"MBBS, DPB",Charity,YES,,24x7,18.725503,76.390737
1311,Civil Hospital Bhandara Blood Bank,Maharashtra,BHANDARA,Bhandara,"General Hospital Blood Bank, Bhandara
",,MBBS,Government,NO,NO,24x7,21.162022,79.65973
1312,Jeevandhara Buldana Urban Blood Bank,Maharashtra,BULDHANA,Buldana,"1st Floor, DSD City Mall, Above Bank of India, Tehsil to Stadium Road, Buldhana 
",,MD (Pathology),Charity,YES,NO,24x7,20.532707,76.180604
1313,Government Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"General Hospital Shegaon Road, Khamgaon, Buldhana",,MBBS,Government,NO,NO,24x7,20.708409,76.566704
1314,Saibai Mote General Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"Saibai Mote General Hospital, Shegaon, Buldhana",,MS,Government,NO,NO,24x7,20.795868,76.696688
1315,Civil Surgeon District General Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"General Hospital Blood Bank Buldhana, Near Prabadhan School, Bhonde Sarakar Chauk Bhuldhana(M.S)",,MBBS,Government,YES,,24x7,20.533583,76.187482
1316,Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank,Maharashtra,BULDHANA,Buldhana,"Bharat Kala Road, Malkapur, Buldhana ",,MBBS,Private,NO,NO,24x7,20.886486,76.207174
1317,Lilavati Blood Bank,Maharashtra,BULDHANA,Buldhana,"John Lay Out, Jamrnn Road, Near Bus stand, Buldhana",,"MBBS, MD (Pathology)",Private,NO,NO,24x7,20.534727,76.172461
1318,Shri. Brahman Swrankar Samaj Trust Blood Bank,Maharashtra,BULDHANA,Khamgaon,"Farshi, Main Road, Khamgaon, Buldhana",,"MD (Pathology), DNB ",Charity,YES,,24x7,20.543402,76.170956
1319,General Hospital Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Government General Hospital Blood Bank, Near Chota Bazar, Main Road, Mahatma Gandhi Marg, Chandrapur",,MBBS,Government,YES,NO,24x7,19.953683,79.296742
1320,Ankur Hospital Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Balaji Ward, Chandrapur",,MD (Pathalogy),Charity,YES,NO,24x7,19.970044,79.30788
1321,Dr. Ninawe Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Niwane Hospital, Near Benglur Bakery, Kasturba Road, Chandrapur",,"MBBS, MD",Charity,YES,,24x7,19.957547,79.295961
1322,Christanand Education Society Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Christanand Education Society Blood Bank,  Christanand Hospital, Gujri Ward No.2, Brahmapuri",,MBBS,Charity,NO,NO,24x7,20.607715,79.855757
1323,Shahada Blood Bank (Whole Human Blood),Maharashtra,DHULE,,Shahada,,,Charity,NO,NO,24x7,21.554796,74.472875
1324,Shri Bhausaheb Hire Government Medical College and Hospital Blood Bank,Maharashtra,DHULE,Dhule,"Civil Hospital Compound, Sakri Road Dhule",,MD (Pathology),Government,NO,NO,24x7,20.863814,74.761869
1325,Navjeevan Medical Relief & Research Society&#39;s Shree Navjeevan Blood Bank and Component Laboratary,Maharashtra,DHULE,Dhule,"Plot No. 39, S. No. 579/3+5, Sushil Nagar Behind Vaibhav Nagar, Dhule.(424001)(M.S.)",http://www.shreenavjeevanbloodbankdhule.com,MBBS,Charity,YES,YES,24x7,20.894428,74.759698
1326,Jawahar Medical Foundation Blood Bank,Maharashtra,DHULE,Dhule,"Hutatma Shririshkumar Nagar, Opposite to Jawahar Suthgirani, Morane, Sakri Road, Dhule",,MD (Pathology),Charity,,,,20.90361,74.741293
1327,Jeevan Jyoti Blood Bank,Maharashtra,DHULE,Dhule,"3252 Agra Road, Near Prabhakar Theater",,MD (Pathalogy),Charity,YES,,24x7,20.897883,74.775354
1328,Nirnay Janseva Blood Bank,Maharashtra,DHULE,Dhule,"Fulwala Chowk, (C.S.No.1415/A/1/A) Lane No. 4  Dr. Odhekar Building, Agra Road",,MBBS,Charity,YES,NO,24x7,20.904116,74.77767
1329,Arpan Blood Bank,Maharashtra,DHULE,Dhule,"Atul Medical and Rehabilitation Society, Arpan Blood Bank,  Jain Oswal Boarding, Ganpati Road, Near Santoshi Mata Mandir, Dhule, Nashik ",,MD (Pathalogy),Charity,YES,,24x7,20.904116,74.77767
1330, Late  Shri Mukeshbai Patel Blood Bank ,Maharashtra,DHULE,Dhule,"Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha, Late  Shri Mukeshbai Patel Blood Bank, 1st Floor, Agrasen  Patpedhi, Maharaja Complex  Shirpur, Dhule ",,MD (Pathology),Charity,YES,YES,24x7,21.458578,74.961094
1331,Sub-District Rural Hospital Blood Bank,Maharashtra,GADCHIROLI,Gadchiroli,"Aheri, At Post and Tal., Aheri, Gadchiroli",,"MBBS, MD",Government,NO,NO,24x7,19.414671,80.003753
1332,Civil Surgeon - General Hospital Blood Bank,Maharashtra,GADCHIROLI,Gadchiroli,"Gadchiroli, General Hospital Blood Bank, Gadchiroli",,MD (Pathalogy),Government,YES,NO,24x7,20.170208,79.982909
1333,Bai Gangabai Ladies Hospital Blood Bank,Maharashtra,GONDIA,Gondia,"Gondia, Bai Gangabai Ladies Hospital Blood Bank, Civil Lines,  Gondia",,MBBS,Government,NO,NO,24x7,21.459648,80.196834
1334,Civil Surgeon - District General Hospital Blood Bank,Maharashtra,HINGOLI,Hingoli,"Akola Road Risala Bazar, Hingoli",,MBBS,Government,YES,NO,24x7,19.721787,77.154487
1335,Civil Hospital Blood Bank,Maharashtra,JALGAON,Jalgaon,"Civil Hospital Blood Bank, Dixit Wadi, Zilha Peth, Jalgaon",,,Government,YES,,24x7,21.00845,75.568216
1336,Madhavrao Golwalkar Swayamsevi Blood Bank,Maharashtra,JALGAON,Jalgaon,"11-255-J-JMP Market, Chitra Chowk, Near Kombadi Bazar, Jalgaon",,,Charity,YES,NO,,21.016507,75.564845
1337,Jeevan Surabhi Blood Bank,Maharashtra,JALGAON,Jalgaon,"Kargaon Road, Laxmi nagar,  Chalisgaon, Jalgaon",,"MBBS, DCH",Charity,NO,,24x7,20.464642,74.998859
1338,Jeevanshri Raktapedi,Maharashtra,JALGAON,Jalgaon,"Ist Floor, Rasmanju Complex, Bhagwat Road, Amalner ",,M.B.B.S,Charity,NO,NO,24x7,21.045399,75.063926
1339,Dhanwantri Blood Bank,Maharashtra,JALGAON,Jalgaon,"H. No. 5/464/1, T. P. Scheme, No-1, Survey No 124/1/3A Plot No. 777/3, Jamner Road, Rangoli Hotel, Jawal Anand Nagar Bhusawal, Jalgaon ",,MD (Pathology),Charity,YES,YES,24x7,21.034297,75.781029
1340,Godavari Foundation Blood Bank,Maharashtra,JALGAON,Jalgaon,"Hospital Building, 2nd Floor, Gate No. 315/316/321/305 Jalgaon - Bhsawal Road, N.H. No. 6,  Jalgaon (kh) ",,,Charity,YES,,24x7,21.023689,75.705103
1341,Indian Red Cross Society Blood Bank,Maharashtra,JALGAON,Jalgaon,"Near Civil Hospital, Athwadi Bazar, Opposite to B.J.Market, Jalgaon",,MBBS,Charity,YES,YES,24x7,21.011122,75.567945
1342,M/s. Jalgaon Blood Bank and Component,Maharashtra,JALGAON,Jalgaon,"Near Mahesh Pragati Bhavan, Ring Road, Jalgaon",,,Charity,YES,YES,24x7,21.00408,75.493766
1343,Askaran Tarachand Jain Blood Bank,Maharashtra,JALGAON,Jalgaon,"Jawahar Market, First Floor, Near Police Station Chopda, Jalgaon",,,Charity,NO,,24x7,21.008464,75.568216
1344,Civil Surgeon General Hospital Blood Bank,Maharashtra,JALNA,Jalna,"Balod Bank Survey No-488, Infront of Collector Office, Civil Hospital, Jalna  ",,,Government,,,,19.84031,75.888795
1345,Jankalyan Blood Bank,Maharashtra,JALNA,Jalna,"Wing No. 03, S. No. 224, Shri Chatrapati Shivaji Maharaj Bazar Sankul, Old Cotton Market Yard",, MD (Pathology),Charity,YES,,24x7,19.867491,75.879779
1346,Noor Hospital Blood Bank,Maharashtra,JALNA,Jalna,"Aurangabad - Jalna Road, Warudi, Tq- Badnapur, Jalna",,MD (Pathology),Charity,YES,YES,24x7,19.860878,75.664447
1347,Rajashri Chatrapati Shahu Maharaj Government Medical College and Chatrapati Pramilaraje General Hospital Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"Dasara Chowk, Somwar Peth, C. P. R. Hospital Compound, Kolhapur
",,MD (Pathalogy),Government,YES,,24x7,16.701443,74.227074
1348,Late Balasaheb Datye - Lions Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"5/468, Datye Mala, Lions Park,  Ichalkaranji, Tal-Hatkanangale, Kolhapur
",,MBBS,Charity,YES,,24x7,16.681682,74.467741
1349,Rajarshi Shahu Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"Rotary Samaj Seva Centre, 253, K.E.Assembly Road, Kolhapur
",,,Charity,YES,NO,24x7,16.691308,74.244866
1350,Mahatma Gandhi Hospital Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"At Post - New Pargaon, TQ-Hatkanangale, Kolhapur",,"MBBS, DCP",Charity,NO,NO,24x7,16.86221,74.240034
1351,Annasaheb Galatge Lions Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"Doctor&#39;s Colony, Gadhinglaj, Kolhapur",,MD (Pathalogy),Charity,YES,NO,24x7,16.186455,74.372559
1352,Acharya Shree Tulsi Blood Bank ,Maharashtra,KOLHAPUR,Kolhapur,"Gate No.1232 Sangli - Kolhapur Road, Jaysingpur Udgaon, Kolhapur
",,MBBS,Charity,NO,NO,24x7,16.785709,74.56459
1353,Dr. D. Y. Patil Hospital Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"Kadamwadi, Kolhapur",,MBBS,Charity,YES,YES,24x7,16.715186,74.256447
1354,Arpan Blood Bank - Blood Component and Apheresis Centre Kolhapur,Maharashtra,KOLHAPUR,Kolhapur,"1st Floor, Saroj Appartment, Subhash Road 1315, &#39;C&#39; Ward,  Opposite to Shramik Bhavan, Laxmipuri, Kolhapur",,MBBS,Charity,YES,,24x7,19.189209,72.97706
1355,Sai Seva Medical Foundation - Vaibhavlaxmi Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"1036/A, E- Ward, 1st  Floor, Deccan Engineering, Opposite to Parvati Multiplex, Rajaram Road, Kolhapur
",,,Charity,YES,,24x7,19.205274,72.840465
1356,Kolhapur Municipal Corporation Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"C.T.S. 83 D-Ward, Near Kasba Gate Police, Chowky, Kolhapur
",,MBBS,Charity,NO,NO,24x7,16.698607,74.223891
1357,Vande Mataram Samajik Samstha&#39;s - Jeevandhara Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"1648 E- Ward Saidarshan Hights , Opposite to Sarada Medical, Chandrakanth Candre Kalasangrahalay, Rajarampuri, 7th Lane, Kolhapur
",,,Charity,YES,,24x7,16.69573,74.247263
1358,Sanjeevan Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"250/B/65  First Floor, Lucky Naresh Banglow, Opposite to Collector Office, Nagala Park, Kolhapur, 
",,MBBS,Charity,YES,,24x7,16.706599,74.231346
1359,Shri.R.R.Patil Shikashan Sheti sanshodhan Aani vikas sanstha Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"M/s Adhar Blood Bank, 1st Floor, C.S. No. 16432 / 1, H No. 12/966, C/o. Dr. Dilip Joshi Hospital, Sambhaji Chowk, Rajaram Road, Ichalkaranji, Tal - Hatkanangle, Kolhapur",,MD (Pathalogy),Charity,YES,YES,24x7,16.680271,74.461733
1360,Government Medical College General Hospital Blood Bank,Maharashtra,LATUR,Latur,"Blood Bank, Government Medical College & Hospital, Old Railway Station,  Gandhi Chowk, Latur",,"MBBS, DCP",Government,YES,YES,24x7,18.39451,76.578201
1361,IRCS - Dr. Bhalchandra Blood Bank,Maharashtra,LATUR,Latur,"Red Cross Bhavan, Gandhi Market, Latur ",http:/www.bhalchandrabloodbank.com,MD (Pathalogy),Charity,YES,YES,24x7,18.401208,76.580639
1362,Smt. Saraswati Karad Blood Bank,Maharashtra,LATUR,Latur,"MIMSR Medical College and Y.C.R. Hospital, Vishwanath Puram,  Ambejogai Road, Latur",,"MBBS, DCP",Charity,YES,NO,24x7,18.429485,76.577846
1363,IRCS Nagappa Amberkhane Blood Bank,Maharashtra,LATUR,Latur,"Banshelki Road Near Nalegaon Railway Crossing Gate Udgir, Latur ",,MBBS,Charity,YES,,24x7,18.392306,77.106985
1364,Arpan Blood Bank Latur,Maharashtra,LATUR,Latur,"H.No R-3-1030,  Old Sonawane Hospital, Near  Ashok Hotel, Main Road, Latur",,MD (Pathalogy),Charity,YES,YES,24x7,18.408491,76.551573
1365,Mauli Blood Bank,Maharashtra,LATUR,Latur,"Gayatri Hospital, Barshi Road, Latur ",,MD (Pathalogy),Charity,YES,NO,24x7,18.451173,73.89143
1366,Global Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"No. 35, Dr. Ernest Borges Road, Hospital Avenue, 
Opposite to Shirodkar High School, Parel, Mumbai.",http://www.globalhospitalsindia.com,,Private,YES,YES,24x7,18.999282,72.840787
1367,ACTREC,Maharashtra,MUMBAI,Mumbai,"Department of Transfusion Medicine, ACTREC, 
Tata memorial centre, 
Sector 22 Kharghar, 
Navi Mumbai.",http://www.actrec.gov.in,,Government,YES,NO,7.00-9.30pm,19.065019,73.064508
1368,Deepak Foundation&#39;s Anviksha Blood Bank,Maharashtra,MUMBAI,Mumbai,"Paras Darshan, M. G. Road, Ghatkopar, (E) Mumbai ",,MD,Charity,YES,,24x7,19.082389,72.904481
1369,Ashirwad Blood Bank,Maharashtra,MUMBAI,Mumbai,"Imperial Mahal, 2nd Floor  Above Shabana Stores, Khodadad Circle, Dr. B. A. Ambedkar Road, Dadar TT,  Mumbai",,"MBBS, MD",Charity,YES,,24x7,19.017341,72.848164
1370,Asian Heart Institute and Research Center,Maharashtra,MUMBAI,Mumbai,"ICICI Tower,  Bandra Kurla Complex, Bandra (E) Mumbai",,MBBS,Private,YES,,24x7,19.065253,72.860832
1371,B.S.E.S M.G. Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Rotary D. G. Goenka Blood Bank, Near Railway Station Andheri (W), Mumbai",http://www.globalhospitalmumbai.com,MBBS,Charity,YES,,24x7,19.119457,72.844948
1372,Bandra Holy Family Hospital Society Blood Bank,Maharashtra,MUMBAI,Mumbai,"Saint Andrews Road, Bandra, Mumbai",http://www.bandraholyfamilyhospital.org,MBBS,Charity,YES,,24x7,19.055059,72.827202
1373,Bhabha Atomic Research Centre Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"BARC Hospital, Anushakti Nagar Mumbai",,MBBS,Government,NO,,24x7,19.042464,72.914358
1374,Bhatia General Hospital and Blood Bank,Maharashtra,MUMBAI,Mumbai,"Tukaram Javji Road, Tardeo, Mumbai",,,,,,,0.0,0.0
1375,Bombay Hospital Trust Blood Bank,Maharashtra,MUMBAI,Mumbai,"12, New Marine Lines Mumbai",,"MBBS, MD, DPB",Charity,YES,,24x7,18.94103,72.82816
1376,Borivali Blood Bank (Doshi Memorial Charitable Trust),Maharashtra,MUMBAI,Mumbai,"3,4,5, Vithal Apartment, Near Ram Mandir, Mandpeshwar Road, Opposite, Flyover,  Borivali (w) ",,MBBS,Charity,YES,,24x7,19.199816,72.845937
1377,Breach Candy Hospital And Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"60 A, Bhulabhai Desai Road, Mumbai",http://www.breachcandyhospital.org,MBBS,Charity,YES,,24x7,18.972677,72.804312
1378,B. Y. L. Nair Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"New OPD Building. 2nd Floor, Dr. A. L. Nair Road Mumbai Central, Mumbai ",,"MBBS, MD",Government,YES,,24x7,18.974279,72.822573
1379,Cama and Albles Hospital - Abdul Fazalbhoy Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahapalika Marg, Mumbai CST",,MBBS,Government,NO,,24x7,18.941948,72.832185
1380,Cumbala Hill Hospital And Heart Institute Blood Bank,Maharashtra,MUMBAI,Mumbai,"93-95, August Kranti Maidan, Mumbai",,MD (Pathalogy),Charity,YES,,24x7,0.0,0.0
1381,Dr. Babasaheb Ambedkar Memorial Hospital - Central Railway Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Central Railway Byculla, (E) Mumbai",,,,,,,0.0,0.0
1382,Dr. L. H. Hiranandani Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Hill Side Avenue, Hiranandani Gardens, Powai ",https://www.hiranandanihospital.org,"MBBS, GCTP, MBA",Charity,YES,,24x7,19.120591,72.917105
1383,ESIC Model Hospital cum ODC Blood Bank,Maharashtra,MUMBAI,Mumbai,"Room No. 20/A, 1st Floor, ESIC Model Hospital cum ODC & PGIMSR, Central Road, M.I.D.C, Opposite to MIDC Police Station, Andheri (East), Mumbai ",,MD (Pathology),Government,YES,NO,24x7,19.118392,72.86724
1384,Fortis Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mulund Goregaon Link Road, Nahur , Mumbai ",http://www.fortishealthcare.com,"MBBS, DCP",Private,YES,YES,24x7,19.162122,72.942063
1385,G. T. Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Near L.T.Marg Police Station, Mumbai",,MBBS,Government,NO,,24x7 ,18.946532,72.833317
1386,Hematology Laboratory Blood Bank,Maharashtra,MUMBAI,Mumbai,"Parekh House, Ground Floor,
14 Mama Parmanand Marg, 
Mumbai.",,MD ,Private,YES,,8.30 am to 4.30pm ; Monday - Friday ;,19.183375,72.853442
1387,Harilal Bhagwati Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"S. V. P. Road, Borivali-W, Mumbai",,MBBS,Government,NO,,24x7,19.245458,72.856027
1388,Suburban Hi-tech Blood Bank,Maharashtra,MUMBAI,Mumbai,"Shagun Building, 2nd Floor, 206, Rani Sati Road, Malad (E)",,MD (Pathalogy),Private,YES,YES,24x7,19.183781,72.849166
1389,Holy Spirit Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahakali  Road, Andheri (E), Mumbai",http://www.holyspirithospital.org,"MBBS, DPB",Charity,YES,,24x7,19.128442,72.866496
1390,Indian Red Cross Society Bombay City Branch Blood Bank,Maharashtra,MUMBAI,Mumbai,"Blood Centre, 141, Shahid Bhagatsingh Road, Town Hall Compound, Near R.B.I. Fort",,"MD, DTM",Charity,YES,YES,7.30am - 10.00pm,18.932476,72.836574
1391,INS - Ashwini Blood Bank,Maharashtra,MUMBAI,Mumbai,"Near R. C. Church, Colaba, Mumbai",,,Government,YES,,24x7,18.901263,72.815698
1392,Jaslok Hospital And Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"15, Dr. G. Deshmukh Marg, Mumbai",http://www.jaslokhospital.net,MD (Pathalogy),Charity,YES,,24x7,18.971653,72.809968
1393,K. B. Bhabha General Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"R. K. Patkar Marg, Bandra (W), Mumbai",,MBBS,Government,NO,,24x7,19.057493,72.833636
1394,K. J. Somaiya Medical College and Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Somaiya Ayurvihar Complex, Eastern Express Highway, Sion, Mumbai ",,"MBBS, DPB",Charity,YES,,24x7,19.047282,72.874706
1395,Kapoorben Vasanji Lathiya Blood Bank - Nanavati Hospital,Maharashtra,MUMBAI,Mumbai," Dr Balabhai Nanavati Hospital,S V Road, Vile Parle (W), Mumbai ",,MBBS;DPB;DHA,Charity,YES,NO,24x7,19.095831,72.840101
1396,K. E. M. Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Acharya Donde Marg, Parel, Mumbai",,"MD (Pathalogy), DTM",Government,YES,YES,24x7,19.001515,72.841877
1397,Kohinoor Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Upper Basement, Room No. 29 to 43, Kirol Road, Off L.B.S Marg, Kurla (w)",http://www.kohinoorhospitals.in,"MBBS, MD",Private,YES,,24x7,19.076212,72.886208
1398,Kokilaben Dhirubhai Ambani Blood Bank,Maharashtra,MUMBAI,Mumbai,"4 Bunglows, Achutrao Patwardhan Marg, Andheri (west), Mumbai ",,"MBBS, MD",Charity,YES,YES,24x7,19.131221,72.824772
1399,Lilavati Hospital and Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"A 791, Bandra Reclamation, Bandra (W), Mumbai",,"MD, DNBC (Pathalogy)",Charity,YES,,24x7,19.051089,72.828889
1400,Lokmanya Tilak Municipal Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"O. P. D. Building, 1st Floor, Sion (W), Mumbai",,,Government,YES,YES,24x7,19.036984,72.859049
1401,M. T. Agarwal Municipal General Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Dr. R. P. Road, Mulund (W), Mumbai",,,Government,,,8.00am - 4.00pm (Sunday&#39;s & Public Holidays closed),19.177861,72.946234
1402,Mahatma Gandhi Seva Mandir Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahatma Gandhi Seva Mandir Hospital, 2nd Floor, Opposite to Bandra Lake, S. V. Road, Bandra (W), Mumbai  ",,"MD (Pathology), DPS",Charity,YES,YES,24x7,19.055801,72.836932
1403,Manas Serological Institute Blood Bank,Maharashtra,MUMBAI,Mumbai,"CTS NO-167 / 168 / A1, 101-104, Grace Plaza, S. V. Road, 
Near Railway Phatak, Jogeshwari (W), Mumbai ",,"MBBS, MD",Charity,YES,,24x7,19.13522,72.848108
1404,Masina Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Sant Savta Marg, Byculla (E) ",http://www.masinahospital.com,MD (Pathology),Charity,YES,NO,24x7,18.974886,72.835711
1405,Mumbai Port Trust Blood Bank,Maharashtra,MUMBAI,Mumbai,"Nadkarni Park, Wadala (E) Mumbai",,,,,,,0.0,0.0
1406,N.  Wadia Maternity  Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Acharya Donde Marg, Parel, Mumbai",http://www.nowrosjeewadiamaternityhospital.com,"MBBS, MD, MBBS MD",Charity,NO,,24 X 7,19.003238,72.842837
1407,Matoshri Valbai Mulji Shah - Arpan Blood Bank,Maharashtra,MUMBAI,Mumbai,"Aniraj Tower,  Janta Market, L.B.S Marg, Bhandup (W), Mumbai",http://www.arpanbloodbank.org,"MBBS, MD",Charity,YES,,24x7,19.142653,72.933304
1408,Navjivan Blood Bank and Lab,Maharashtra,MUMBAI,Mumbai,"Shop No.1, Abhilasha II, Punjabi Lane Borivali (W)",,MBBS,Private,,,24x7,19.23024,72.852643
1409,P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"Veer Savarkar Road, Mahim (W), Mumbai",http://www.hindujahospital.com,MD,Charity,YES,YES,24x7,19.033615,72.838105
1410,Meenatai Thackeray Blood Bank - Siddharth Hospital,Maharashtra,MUMBAI,Mumbai,"Siddharth Nagar, Prabhodhan Kridabhawan Marg,
Goregaon (W)",,"MBBS, DPB",Charity,YES,YES,24x7,19.159649,72.840284
