Sr No, Blood Bank Name, State,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Email Nodal Officer, Category, Apheresis, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
1282,Ahmednagar Municipal Council Blood Bank,Maharashtra,,,,,,,,,Government,,,,,0.0,0.0
1283,Civil Surgeon General Hospital Blood Bank,Maharashtra,444001,0724 2434401,9767111950,,0724 2437078,bloodbankgmcakola@gmail.com,,"csnrhmakola@gmail.com, bloodbankgmcakola@gmail.com,",Government,,984,3/4/1989,31-12-2019,20.702666,77.001984
1284,District Hospital for Women Blood Bank,Maharashtra,444001,"0724 2433398, 0724 2433778 ","09422862490, 09730907515, 09422955523",,0724 2457073,dhw_akola@rediffmail.com,,"dhw_akola@rediffmail.com,",Government,NO,,,,20.714492,77.008904
1285,Dr. Vivek Pimpalkar Blood Bank,Maharashtra,444101,0724 2438271 ,"09423848910, 09850650044",,,,,"vivekarvindpimparkar@gmail.com,",Private,NO,AMD/BB-01/95,1/2/1995,31-12-2017,21.106181,77.072925
1286,Shriram Blood Bank,Maharashtra,444005,"0724 2433175, 0724 2432175",9823071925,,0724 2434858,,,"aherprakash@hotmail.com,",Private,NO,AMD/BB/18/2000,1/1/2012,31-12-2016,21.106181,77.072925
1287,Akola Diagnostic Centre Blood Bank and Component Lab,Maharashtra,444001,0724 2458777,9823048379,,,akoladiagnostic@rediffmail.com,,"akoladiagnostic@rediffmail.com,",Charity,,AMD/BB/25/2013,13-03-2013,3/12/2018,20.70644,77.011207
1288,Dr. Mankar Memorial Blood Bank,Maharashtra,444001,0724 2457530 ,"09823243771, 09422162787",,,,," Sach2112@gmail.com,",Charity,NO,AMD/BB/24/2003,19-09-2011,18-09-2016,20.724952,77.04278
1289,Dr. Hedgewar Blood Bank,Maharashtra,444005,"0724 2491264, 0724 2491265, 0724 2491266","09422862482, 09423125215",,0724 2491264,,,"siddhsamir@rediffmail.com,",Charity,,AMD/BB/25/2003,,,21.140578,79.060506
1290,ICON Blood Bank - Ganediwal Charitable Trust,Maharashtra,444 001,0724 2411263,,,,iconakola@rediffmail.com,,"iconakola@rediffmail.com,",Charity,,AMD/BB/24/2011,12/5/2011,12/4/2016,20.713446,77.011958
1291,Sai Jeewan Blood Bank,Maharashtra,,,,,,,,,Charity,,,,,0.0,0.0
1292,District General Hospital Blood Bank Amravati,Maharashtra,444601,"0721 2663337, 0721 2663339, 0721 2663338",7385331819,,0721 2663337,cs_amravati@rediffmail.com,,dr.vilasjadhav@gmail.com,Government,YES,AMD/BB/18/2000,1/1/2012,31-12-2016,20.93386,77.760815
1293,Shri Balaji Blood Bank & component lab Amravati,Maharashtra,444601,0721 2671600 ,"09422155201, 09823045532",,,"drckdara@yahoo.com,",,drckdara@yahoo.com,Charity,YES,AMD/BB/22/10,25-03-2014,25-03-2019,20.928177,77.756362
1294,Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank,Maharashtra,440603,0721 2665545,9766325831,,0721 2661742,sandippatil@gmail.com,,bloodbankdrpdmmc@gmail.com,Charity,YES,AMD/BB/14/99 ,1/1/2013,31-12-2017,20.923,77.816645
1295,Sant Gadgebaba Blood Bank and Component Centre Badnera,Maharashtra,444701,"0721 2580490, 0721 2580455              ",9422915633,,0721 2580490,sopanblood@gmail.com,,"sopanblood@gmail.com,",Charity,NO,AMD/BB/29/2009,6/1/2010,15-12-2014,20.794116,77.709547
1296,Dr. Late Sadanadaji Burma Memorial Blood Bank,Maharashtra,444805,8484010184,9403621600,,,rsburma@yahoo.co.in,,"rsburma@yahoo.co.in,",Charity,NO,AMD/BB/23/2011,29-04-2011,28-04-2016,21.298921,77.518316
1297,Regional Blood Bank Government Medical College and Hospital,Maharashtra,431001,"0240 2402108, 0240 2402418",9890281663,,,bbgmchabad@gmail.com,,bbgmchabad@gmail.com,Government,,28/AD/006,24-10-1990,1/1/2012,19.890542,75.317164
1298,Mahatma Gandhi Mishan (MGM) Hospital Blood Bank,Maharashtra,431003,"0240 6601100, 0240 6601167",9371012383,,0240 2484445,drcpbhale@rediffmail.com,,"drcpbhale@rediffmail.com, Mahadev.Gayke@rediffmail.com",Charity,YES,AD/BB/18,13-07-2007,7/12/2017,19.877896,75.354519
1299,Dattaji Bhale Blood Bank - Hedgewar Hospital,Maharashtra,431005,"0240 2335196, 0240 2331195, 0240 2352371",9822435509,,0240 2341849,mahendrasingh-chauhan@hedgewar.org,http://www.dattajibhalebloodbank.org/,"Mahendrasingh-chauhan@hedgewar.org, hedgewar@hotmail.com, contact@hedgewar.org",Charity,YES,AD/BB/011/20/12/2001,20-12-2001,16-01-2017,19.876165,75.343313
1300,Lokmanya Blood Bank,Maharashtra,431005,"0240 6602163, 0240 2328362 ",9370527120,,0240 2328362,adm.lokmanya@gmail.com,,adm.lokmanya@gmail.com,Charity,NO,AD/BB/020,1/1/2014,31-12-2018,19.872123,75.323251
1301,Seth Nandlal Dhoot Hospital Blood Bank,Maharashtra,431210,0240 2489001 - 10,9225334164,,0240 2485331, bloodbank@dhoothospital.com,, bloodbank@dhoothospital.com,Charity,YES,AD/BB/006,26-04-1999,31-12-2017,19.872742,75.387668
1302,Arpan Voluntary (Marathwada)  Blood Bank,Maharashtra,431001,"0240 2345359, 0240 6604204",9860078075,,,nandkishor@arpanbloodbank.org,,"rafiq.khan@marathwadabloodbank.info, nandkishor@arpanbloodbank.org",Charity,NO,AD/BB/23,2/5/2012,1/5/2017,19.875504,75.352445
1303,Amruta Blood Bank,Maharashtra,431001,0240 2060145 ,"08087527390, 09404471720, 09850410343, 08380073333",,0240 2351145,amrutabloodbank@gmail.com,,"amrutabloodbank@gmail.com,",Charity,NO,AD/BB/26,14-08-2012,13-08-2017,19.855842,75.338268
1304,Aurangabad Blood Bank,Maharashtra,431001,"0240 6002002, 0240 2330400",9922650892,,,aurangabadbloodbank@gmail.com,,"aurangabadbloodbank@gmail.com,",Charity,NO,AD/BB/29,15-06-2013,14-06-2018,19.873384,75.344972
1305,Lions Blood Bank,Maharashtra,431005,"0240 2340250, 2337255",8275092594,,,lionsbloodbank0708@gmail.com,,"lionsbloodbank0708@gmail.com,",Charity,YES,AD/BB/31,10/8/2013,10/7/2018,19.87244,75.323188
1306,Civil Surgeon General Hospital Blood Bank,Maharashtra,431122,02442 220609,9822541028,,02442 222618 ,bloodbankbeed@rediffmail.com,,"cs_beed@rediffmail.com, bloodbankbeed@rediffmail.com",Government,,28/AD/009,30-06-1992,31-12-2011 (Objections raised by FDA),18.986918,75.75332
1307,Swami Ramanand Tirth Arben Medical College Hospital Blood Bank,Maharashtra,431517,02446 244472 ,9422467018,,02446 247132 (Dean office),srtrgmcbb@gmail.com,,srtrgmcbb@gmail.com,Government,NO,20  1028    [Component License No:AD/BB/33]     ,7/11/2013,6/11/2018,18.731377,76.370902
1308,Vaidynath Blood Bank,Maharashtra,431515,02446 223584,9422242419,9673771797,,,,Drsuryakantmundhe@gmail.com,Charity,NO,AD/BB/015,3/8/2011,3/7/2020,18.842659,76.535058
1309,Navjivan Blood Bank,Maharashtra,431122,"02442 233423, 02442 232434, 02442 223975",9890297246,,,,,,Charity,,,,,19.000048,75.755254
1310,Arpan Blood Bank Beed,Maharashtra,431517,02446 245002           ,9421352152,,,nandkishor@arpanbloodbank.org,,nandkishor@arpanbloodbank.org ,Charity,,AD/BB/35,12/7/2013,12/7/2013,18.725503,76.390737
1311,Civil Hospital Bhandara Blood Bank,Maharashtra,441904,"07184 252247(Hospital), 07184 250725(Blood Bank)",9422809711,,07184 255151,bloodbank_bhandara@rediffmail.com,,"bloodbank_bhandara@rediffmail.com,",Government,NO,Licence in correct format not recived from FDA,1/1/2013,31-12-2017,21.162022,79.65973
1312,Jeevandhara Buldana Urban Blood Bank,Maharashtra,443001,9657221122,9922527555,,,maheshbhakkad@gmail.com,,"maheshbhakkad@gmail.com,",Charity,NO,Amd/BB/26/2013,4/2/2013,4/1/2018,20.532707,76.180604
1313,Government Hospital Blood Bank,Maharashtra,444303,"07263 255332, 07263 254571","09822782898, 09011580154 ",,07263 255332,"ghkbb134@gmail.com, ms_ghkhamgaon@rediffmail.com",,ms_ghkhamgaon@rediffmail.com,Government,NO,AMD/BB/32/1998,11/7/1990,Applied for renewal,20.708409,76.566704
1314,Saibai Mote General Hospital Blood Bank,Maharashtra,444203,07265 252020,9764550722,,07265 252866,,,,Government,NO,AMD/BB/13/98,22-04-1998,31-12-2016,20.795868,76.696688
1315,Civil Surgeon District General Hospital Blood Bank,Maharashtra,443001,07262 242423 (Extn.234),"09423452824, 09422184152 (Tech)",,07262 242423,cs_buldhana@rediffmail.com,,"cs_buldhana@rediffmail.com, bb225@mahasbtc.com",Government,,ND-11,1/1/2007,31-12-2016,20.533583,76.187482
1316,Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank,Maharashtra,443101,07267 26700,9423144276,,07267 224943,jkpatho@gmail.com,,"jkpatho@gmail.com,",Private,NO,AMD/DB/17/93,1/12/2000,1/12/2016,20.886486,76.207174
1317,Lilavati Blood Bank,Maharashtra,443001,07262 243811,9422180490,,,,,dr.ajitshirsat@rediffmail.com,Private,NO,AMD/BB/21/2001,12-Dec,17-Dec,20.534727,76.172461
1318,Shri. Brahman Swrankar Samaj Trust Blood Bank,Maharashtra,444303,07263 255577,9422883786,,07263 259334,,,"sonigopal2000@gmail.com,",Charity,,AMD/BB/26/2004,-,-,20.543402,76.170956
1319,General Hospital Blood Bank,Maharashtra,442402,"07172 252103, 07172 253992",7620048023,,,bbchandrapur@gmail.com,,bbchandrapur@gmail.com,Government,NO,ND/4,19-07-1990,Proposal submitted for 2012 to 2017 on dated 28/11/2011 ,19.953683,79.296742
1320,Ankur Hospital Blood Bank,Maharashtra,442402,"07172 251522, 07172 255522, 07172 264522",9422135495,,,ankurhospital@rediffmail.com,,ankurhospital@rediffmail.com,Charity,NO,ND/BB/22,9/1/2007,31-08-2017,19.970044,79.30788
1321,Dr. Ninawe Blood Bank,Maharashtra,442402,"07172 254884, 07172 254994      ","09422138720, 09421718892","07083403399, 07083503399",,,,,Charity,,Applied for Renewal,,,19.957547,79.295961
1322,Christanand Education Society Blood Bank,Maharashtra,441206,"07177 272016, 07177 271109",9881804284,,,christanandhosp@gmail.com,,"christanandhosp@gmail.com, nitin.chauhan1970@gmail.com",Charity,NO,ND/32 ,14-06-1993 ,31-12-2017,20.607715,79.855757
1323,Shahada Blood Bank (Whole Human Blood),Maharashtra,,02565 223446,"09371855918, 08421756756",,,,,,Charity,NO,,,,21.554796,74.472875
1324,Shri Bhausaheb Hire Government Medical College and Hospital Blood Bank,Maharashtra,424001,02562 288833,9422780176,,,bloodbankdhule@gmail.com,,bloodbankdhule@gmail.com,Government,NO,1020,28/7/1989,31-12-2017,20.863814,74.761869
1325,Navjeevan Medical Relief & Research Society&#39;s Shree Navjeevan Blood Bank and Component Laboratary,Maharashtra,424001,"02562 245662, 02562 246289, 02562 244662","09881171637, 09422714375, 09422387555",02562 244662,02562 245662,navjeevan.dhule@gmail.com,http://www.shreenavjeevanbloodbankdhule.com,navjeevan.dhule@gmail.com,Charity,YES,NKD/2,4/2/1994,29-12-2017,20.894428,74.759698
1326,Jawahar Medical Foundation Blood Bank,Maharashtra,424001,"02562 276317, 02562 277298",9922553307,,,acpm@rediffmail.com,,acpm@rediffmail.com,Charity,,,,,20.90361,74.741293
1327,Jeevan Jyoti Blood Bank,Maharashtra,424001,02562 232807,9422562094,,,bb_jyoti@yahoo.com,,bb_jyoti@yahoo.com,Charity,,NKD/10 ,,31-12-2016,20.897883,74.775354
1328,Nirnay Janseva Blood Bank,Maharashtra,424001,02562 238262,9730733888,,,nirnayjansevabloodbank@gmail.com,,nirnayjansevabloodbank@gmail.com,Charity,NO,NKD/55 ,16-01-2014 ,15-01-2019,20.904116,74.77767
1329,Arpan Blood Bank,Maharashtra,424001,"02562 229163, 02562 229164, 02562 229165 ","09881907646, 09975000000",,,,,seemap@arpanbloodbank.org,Charity,,NKD/50  ,27-08-2012,26-08-2017,20.904116,74.77767
1330, Late  Shri Mukeshbai Patel Blood Bank ,Maharashtra,424001,"09823142895, 08421756756",8180062242,,, bb_shirpur@yahoo.com,,"bb_shirpur@yahoo.com, vilas1505@yahoo.in",Charity,YES,NKD/52,25-02-2013,24-02-2018,21.458578,74.961094
1331,Sub-District Rural Hospital Blood Bank,Maharashtra,442705,07133 272072,9421925298,,,ms.sdhaheri@gmail.com,,ms.sdhaheri@gmail.com,Government,NO,ND/28 ,1/1/2013,31-12-2017,19.414671,80.003753
1332,Civil Surgeon - General Hospital Blood Bank,Maharashtra,442605,"07132 222056, 07132 222644",9421925298,,,bloodbankgadchiroli@gmail.com,,"bloodbankgadchiroli@gmail.com, csghgadchiroli@gmail.com, csghgadchiroli33@gmail.com",Government,NO,ND/24 ,20-08-1992 ,31-12-2016,20.170208,79.982909
1333,Bai Gangabai Ladies Hospital Blood Bank,Maharashtra,441601,07182 232606,7721039074,,,msbgwhgondia@gmail.com,,"gondiabloodbank@gmail.com,msbgwhgondia@gmail.com,  cs_gondia@rediffmail.com",Government,NO,ND/27  ,31-03-2012,31-03-2017,21.459648,80.196834
1334,Civil Surgeon - District General Hospital Blood Bank,Maharashtra,431513,02456 224118,9422295417,,,Bloodbankhingoli@gmail.com,,"vitthalkarpe55@gmail.com, ",Government,NO,AD/BB/27 ,29-10-2012 ,28-10-2017,19.721787,77.154487
1335,Civil Hospital Blood Bank,Maharashtra,425001,"0257 2226642, 0257 2252145",9766148307,,,,,"drsurajwani@gmail.com, chjbbjal@gmail.com, cs_jalgon@rediffmail.com",Government,,1037,,,21.00845,75.568216
1336,Madhavrao Golwalkar Swayamsevi Blood Bank,Maharashtra,425001,"0257 2234590, 0257 2261979",9421038123,,,,,,Charity,NO,,,,21.016507,75.564845
1337,Jeevan Surabhi Blood Bank,Maharashtra,424101,02589 223833,9823232307,,,jsbb@live.in,,jsbb@live.in,Charity,,NKD/20,1/1/2007,31-12-2011 (Applied for renewal on 23/11/2011),20.464642,74.998859
1338,Jeevanshri Raktapedi,Maharashtra,425401,,9226894187,,,,,jsbbamalner@gmail.com,Charity,NO,NKD-32,7/12/2012,29-09-2016,21.045399,75.063926
1339,Dhanwantri Blood Bank,Maharashtra,425201,02582 243243,"09326728048, 07588053642",,,bloodbank308@yahoo.com,,"bloodbank308@yahoo.com ,dhanawantaribbbsl@hotmail.com, mahajanpath@hotmail.com",Charity,YES,NKD/34,29-01-2008,31-12-2017,21.034297,75.781029
1340,Godavari Foundation Blood Bank,Maharashtra,425309,"0257 3058539, 0257 3058526",9822771478,,,,,"dupmcj@yahoo.in, itsmeumeshkolhe@gmail.com",Charity,,NKD/36,30-10-2009,29-10-2014,21.023689,75.705103
1341,Indian Red Cross Society Blood Bank,Maharashtra,425001,"0257 2226233, 0257 2236255, 0257 2235855",9422296753,,,ircs_jal@yahoo.in,,ircs_jal@yahoo.in,Charity,YES,NKD/58                      ,4/3/2014,3/3/2019,21.011122,75.567945
1342,M/s. Jalgaon Blood Bank and Component,Maharashtra,425002,0257 2222278,"09156313025, 09156313026",,,jalgaon.bb@gmail.com,,"bb_jalgaon@yahoo.com,",Charity,YES,NKD/57,26-02-2014,25-02-2019,21.00408,75.493766
1343,Askaran Tarachand Jain Blood Bank,Maharashtra,425107,"02586 221019, 02586 220457, 02586 220468",9423188110,,,,,"kiranslohar77@gmail.com,",Charity,,NKD/19,,,21.008464,75.568216
1344,Civil Surgeon General Hospital Blood Bank,Maharashtra,431203,"02482 224381, 02482 224393",9422219635,,,,,,Government,,,,,19.84031,75.888795
1345,Jankalyan Blood Bank,Maharashtra,431203,"02482 238397, 02482 243085, 02482 232407",9822215625,,,jalnajankalyan@gmail.com,, jalnajankalyan@gmail.com,Charity,,AD/BB/25 ,22-06-2012,21-06-2017,19.867491,75.879779
1346,Noor Hospital Blood Bank,Maharashtra,431202,02482 222515,9960336003,,,"iimsk11@gmail.com, iimsr11@gmail.",,"iimsk11@gmail.com, iimsr11@gmail.com",Charity,YES,AD/BB/28 ,27-12-2012 ,26-12-2017,19.860878,75.664447
1347,Rajashri Chatrapati Shahu Maharaj Government Medical College and Chatrapati Pramilaraje General Hospital Blood Bank,Maharashtra,416001,0231 2644337,9175823219,,0231 2645283,rcsmgmc.cprbloodbank@gmail.com,,rcsmgmc.cprbloodbank@gmail.com,Government,,pd/55,,,16.701443,74.227074
1348,Late Balasaheb Datye - Lions Blood Bank,Maharashtra,416115,0230 2436130,9860858918,,0230 2431022             ,lbbank89@gmail.com,,lbbank89@gmail.com,Charity,,F-28/1014,1/1/2008,31-12-2019,16.681682,74.467741
1349,Rajarshi Shahu Blood Bank,Maharashtra,416002,0231 2651640 ,9923138264,,0231 2667540  ,rsbbkop@gmail.com,,"rsbbkop@gmail.com, rsbbkop@yahoo.com,",Charity,NO,P.D. 29 (F28),28-01-1993,31-12-202017 ,16.691308,74.244866
1350,Mahatma Gandhi Hospital Blood Bank,Maharashtra,416137,"0230 2477081, 0230 2477082, 0230 2477083,  0230 2477308, 0230 2477309  ",9823427765,,"0230 2477081, 0230 2477082, 0230 2477083",mghbbnewpargaon@gmail.com,,"savitrinath1@gmail.com, www.waranahealth.com, mghbbnewpargaon@gmail.com,",Charity,NO,PD-10,1/1/2012,31-12-2016,16.86221,74.240034
1351,Annasaheb Galatge Lions Blood Bank,Maharashtra,416502,"02327 223100, 02327 226355",9970222605,,02327 223100 ,annasahebg@gmail.com,,"annasahebg@gmail.com,",Charity,NO,PD/22,1/1/2013,31-12-2017,16.186455,74.372559
1352,Acharya Shree Tulsi Blood Bank ,Maharashtra,416101,"02322 227955, 02322 228455",9423337545,,0230 2438011               ,tulsiblood@rediffmail.com,,"tulsiblood@rediffmail.com,",Charity,NO,PD/27,21-11-2001,16-Nov,16.785709,74.56459
1353,Dr. D. Y. Patil Hospital Blood Bank,Maharashtra,416003,"0231 2653286, 0231 2651027",9422520357,,,dypihbt@yahoo.com,,dyph100@gmail.com,Charity,YES,PD/33    ,1/6/2009,5/1/2019,16.715186,74.256447
1354,Arpan Blood Bank - Blood Component and Apheresis Centre Kolhapur,Maharashtra,416001,"0231 2640588, 0231 2640599, 0231 6617208","08605757555, 0231 2640588 to 2640599",,0231 6617208,babasahebaghav@gmail.com,,babasahebaghav@gmail.com,Charity,,PD/52,31-08-2010,30-08-2015,19.189209,72.97706
1355,Sai Seva Medical Foundation - Vaibhavlaxmi Blood Bank,Maharashtra,416001,"0231 6454949, 0231 2664949",9422047480,,,,,"muneshkolhe@rediffmail.com, anmolkamat@gmail.com",Charity,,PD/54,31-12-2010,30-12-2015,19.205274,72.840465
1356,Kolhapur Municipal Corporation Blood Bank,Maharashtra,416002,0231 2541870,9420493125,,,kmcbloodbank@ymail.com,,kmcbloodbank@ymail.com,Charity,NO,840,1/1/2012,31-12-2016,16.698607,74.223891
1357,Vande Mataram Samajik Samstha&#39;s - Jeevandhara Blood Bank,Maharashtra,416008,"0231 2526363, 0231 2522223",9422047156,,,sjivandhara@yahoo.com,,"sjivandhara@yahoo.com,",Charity,,PD/64,30-07-2012,29-07-2017,16.69573,74.247263
1358,Sanjeevan Blood Bank,Maharashtra,416002,"0231 2668031, 0231 2668032",9371782825,,,ssfarakte@yahoo.in,,"ssfarakte@yahoo.in,",Charity,,PD/61,4/11/2012,4/10/2017,16.706599,74.231346
1359,Shri.R.R.Patil Shikashan Sheti sanshodhan Aani vikas sanstha Blood Bank,Maharashtra,416115,"0230 2430073, 0230 2430074",9823536364,,,adharbbi@gmail.com,,"satishmete8888@gmail.com, adharbbi@gmail.com",Charity,YES,PD/73,7/8/2014,7/7/2019,16.680271,74.461733
1360,Government Medical College General Hospital Blood Bank,Maharashtra,413512,"02382 257670, 02382 253017",9881417339,,,"bloodbankgmclatur@yahoo.co.in, csnrhmlatur@rediffmail.com",,"keshavgitte@yahoo.co.in, bloodbankgmclatur@yahoo.co.in, csnrhmlatur@rediffmail.com ",Government,YES,28/971  ,31-01-1989,31-12-2012,18.39451,76.578201
1361,IRCS - Dr. Bhalchandra Blood Bank,Maharashtra,413512,"02382 246078, 02382 254994",9421196909,,02382 054994,"ircslatur@gmail, bhalbloodbank@rediffmail.com",http:/www.bhalchandrabloodbank.com,"bhalbloodbank@rediffmail.com, ircslatur@gmail.com",Charity,YES,28-C/886 ,1/1/2008,31-12-2017,18.401208,76.580639
1362,Smt. Saraswati Karad Blood Bank,Maharashtra,413512,"02382 227424, 02382 227028 (Extn. 242)","09422968442, 09421375504",,,bloodbank@mimsr.edu.in,,meenasonwane02@gmail.com,Charity,NO,AD/BB/013,2/12/2004,1/12/2019,18.429485,76.577846
1363,IRCS Nagappa Amberkhane Blood Bank,Maharashtra,413517,02385 258325,9405050145,,,bloodbankudgir@yahoo.com,,bloodbankudgir@yahoo.com,Charity,,AD/BB/019  ,5/3/2010,5/2/2020,18.392306,77.106985
1364,Arpan Blood Bank Latur,Maharashtra,413512,"02382 251476, 02382 252476",7507771532,,02382 253476,balbhim.chavan@arpanbloodbank.org,,balbhim.chavan@arpanbloodbank.org,Charity,YES,AD/BB/21 ,2/12/2010,1/12/2015,18.408491,76.551573
1365,Mauli Blood Bank,Maharashtra,413512,02382 224000,8275599777,,02382 255071,maulibloodbanklatur@gmail.com,,"umakantjadhav78@gmail.com, maulibloodbanklatur@gmail.com",Charity,NO,AD/BB/34 ,11/8/2013,11/7/2018,18.451173,73.89143
1366,Global Hospital Blood Bank,Maharashtra,400012,"022 67670101, 022 67670342",9820168514,,022 67670121,,http://www.globalhospitalsindia.com,rajeev.nikte@globalhospitalsindia.com,Private,YES,MH004747 ,10/1/2013,30-09-2018,18.999282,72.840787
1367,ACTREC,Maharashtra,410210,"022 27405000, Ext 5515;                                  Direct No. 022 27405073",7498193900,,022 27405085,,http://www.actrec.gov.in,,Government,NO,,,,19.065019,73.064508
1368,Deepak Foundation&#39;s Anviksha Blood Bank,Maharashtra,400077,"022 21026290, 022 21025927",9820635253,,022 21025927,,,anvikshabb@hotmail.com,Charity,,MH004731 - 28 C,1/4/2012,31-03-2017,19.082389,72.904481
1369,Ashirwad Blood Bank,Maharashtra,400014,"022 24154826, 022 24154827",9820000236,,,,,uma52@rediffmail.com,Charity,,36/28-C,23-06-1905 ,31-12-2012 (Applied for renewal),19.017341,72.848164
1370,Asian Heart Institute and Research Center,Maharashtra,400051,"022 66986666, 022 26508487",9820434775,,022 66986506,,," archana.pednekar@ahirc.com, bloodbank@ahirc.com",Private,,28-C:39  ,1/2/2003,01-01-2013 (Applied for renewal),19.065253,72.860832
1371,B.S.E.S M.G. Hospital Blood Bank,Maharashtra,400058,"022 66487576, 022 66487577, 022 66487578, 022 26283557",9819456505,,"022 26714000, 022 26715000 ",,http://www.globalhospitalmumbai.com,"dr_yoginipatel@yahoo.com, bloodbank@ghrc_bk.org",Charity,,28C40,13-01-2008 ,Applied for renewal,19.119457,72.844948
1372,Bandra Holy Family Hospital Society Blood Bank,Maharashtra,400050,"022 30610300, 022 30610555, 022 26518373",9892845140,,022 26403219,,http://www.bandraholyfamilyhospital.org,dr.joyceregi@gmail.com,Charity,,13/28-C ,1/1/2012,31-12-2016,19.055059,72.827202
1373,Bhabha Atomic Research Centre Hospital Blood Bank,Maharashtra,400094,"022 25598353, 022 25598361, 022 25558494 ",9619920707,,022 25506944,,,"aroraveena@yahoo.com, bb220.barch@gmail.com",Government,,14/28-C,,,19.042464,72.914358
1374,Bhatia General Hospital and Blood Bank,Maharashtra,400007,"022 66660656, 022 66660032",,,,,,,,,,,,0.0,0.0
1375,Bombay Hospital Trust Blood Bank,Maharashtra,400020,022 22067676,9820302628,,022 22080871,,,maya@parihar.com,Charity,,17/28-C  ,30-06-1905,Applied for renewal,18.94103,72.82816
1376,Borivali Blood Bank (Doshi Memorial Charitable Trust),Maharashtra,400103,"022 28936203, 022 28935219",9821052413,,,,,borivalibloodbank99@yahoo.com,Charity,,MH004616 ,,31-01-2018,19.199816,72.845937
1377,Breach Candy Hospital And Research Centre Blood Bank,Maharashtra,400026,"022 23667811, 022 23872666",9820286291,,"022 23632520, 022 23672666",,http://www.breachcandyhospital.org,"drthomasa@breachcandyhospital.org, bloodbank@breachcandyhospital.org, drthomasa@breachcandyhospital.org, saviod@breachcandyhospital.org",Charity,,28-C 1079 ,19-01-2007 ,18-01-2012,18.972677,72.804312
1378,B. Y. L. Nair Hospital Blood Bank,Maharashtra,400008,"022 23027644, 022 23027645, 022 23098150",9820887694,,022 23072663 ,,,"nairbloodbank@yahoo.com, nitinvalvi@rediffmail.com",Government,,28C / 242  ,1/1/2008,31-12-2012,18.974279,72.822573
1379,Cama and Albles Hospital - Abdul Fazalbhoy Blood Bank,Maharashtra,400001,"022 22611667, 022 22611654, 022 22611647 (Extn. 319)                         022 22611648",9867798441,,022 22621197 ,,,"drvikasmaindad@gmail.com, bb214@mahasbtc.com",Government,,1093,,Applied for renewal,18.941948,72.832185
1380,Cumbala Hill Hospital And Heart Institute Blood Bank,Maharashtra,400036,"022 23803674, 022 23803336, 022 23514740, 022 23511551   ",9821097083,,,,,"vivekshirguppi@yahoo.co.in, chh@vsnl.com",Charity,,1078,1/1/2002,Applied for renewal,0.0,0.0
1381,Dr. Babasaheb Ambedkar Memorial Hospital - Central Railway Hospital Blood Bank,Maharashtra,400027,"022 23791964, 022 23717246, 022 67452926, 022 67452950, 022 23726588",,,,,,,,,,,,0.0,0.0
1382,Dr. L. H. Hiranandani Hospital Blood Bank,Maharashtra,400076,"022 25763355, 022 25763356, 022 25763357, 022 25763344, 022 25763311",9619597757,,022 25763344,,https://www.hiranandanihospital.org,lincy.jacob@hiranandanihospital.org,Charity,,28 C-44,2004,2014,19.120591,72.917105
1383,ESIC Model Hospital cum ODC Blood Bank,Maharashtra,400 093,022 28321361,8691853888,,,esicbloodbank.andheri93@gmail.com,,"esicbloodbank.andheri93@gmail.com, dr.sujatap.sonawane@esic.in",Government,NO,MH004679 ,20-07-2015 ,19-07-2020,19.118392,72.86724
1384,Fortis Hospital Blood Bank,Maharashtra,400078,"022 67994370, 022 43654374",9519298226,,"022 67994242, 022 67994343",bloodbank.mul@fortishealthcare.com,http://www.fortishealthcare.com,mini.agrawal@fortishealthcare.com,Private,YES,28C-41  ,18-12-2009,17-12-2019,19.162122,72.942063
1385,G. T. Hospital Blood Bank,Maharashtra,400001,"022 22031111, 022 22621468 (Extn. 1351)",7738645537,,022 22630553,,,mallikapramraj@gmail.com,Government,,,,,18.946532,72.833317
1386,Hematology Laboratory Blood Bank,Maharashtra,400004,022 23691297,9820070001,,022 23610912,,,parekhsp@vsnl.com,Private,,1-28C,1/6/1994,31-12-2016,19.183375,72.853442
1387,Harilal Bhagwati Hospital Blood Bank,Maharashtra,400103,"022 28932461, 022 28932462, 022 28932463 (Extn.205, 409)",9820368493,,,,,"drnnjadhav67@gmail.com, bhagwatihospital@yahoo.co.in",Government,,1049,,Applied for renewal,19.245458,72.856027
1388,Suburban Hi-tech Blood Bank,Maharashtra,400097,"022 28714060, 022 28714070",9004437823,,,,,"rawlani_rajkumar@yahoo.com, suburban.hitech@yahoo.com",Private,YES,MH004618  ,7/2/2008,Applied for renewal,19.183781,72.849166
1389,Holy Spirit Hospital Blood Bank,Maharashtra,400093,"022 28200353, 022 28248505",9869449892,,,,http://www.holyspirithospital.org,"holyspirit_bloodbank@yahoo.in, kamatmanisha@yahoo.com",Charity,,28c/1121   ,1/1/2008,31-12-2012,19.128442,72.866496
