Sr No, Blood Bank Name, State, District, City, Address, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude,label
1425,V. N. Desai Municipal General Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"T. P. S. II, 11th Road, Santacruz (E) Mumbai",MBBS,Government,NO,NO,8.00am to 9.00pm (Sunday&#39;s & public holidays closed),30-28C ,1/1/2013,31-12-2017,19.078822,72.844994,0
1426,West Coast Blood Bank,Maharashtra,MUMBAI,Mumbai,"Basement 101, Moon Building, 798, Mori Road, Mahim(W), Mumbai",MBBS,Private,YES,NO,24x7,FDA Lic No. 34 / 28C,24-01-2001,1/1/2013,19.042954,72.84073,0
1427,M/s. Balasaheb Thackerey Blood Bank,Maharashtra,MUMBAI,Mumbai,Mumbai,MBBS,Private,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1428,M/s. Pallavi Blood Bank,Maharashtra,MUMBAI,Mumbai,Mumbai,MBBS,Private,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1429,"ESI-PGIMSR, MGM Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,Mumbai,MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1430,M/s Sion Blood Bank,Maharashtra,MUMBAI,Mumbai,Mumbai,MBBS,Private,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1431,Harkisandas  Marottamdas Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,Mumbai,MBBS,Private,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1432,Government Medical College Blood Bank Nagpur,Maharashtra,NAGPUR,Nagpur,"Model Blood Bank, 2nd Floor, Hospital Building, Government Medical College & Hospital, Nagpur  ",MD (Pathalogy),Government,YES,NO,24x7,1005,24-05-1989,1/1/2018,21.126097,79.097101,0
1433,Super Speciality Hospital and Medical Post Graduate Institute Blood Bank,Maharashtra,NAGPUR,Nagpur,"Maenad Road, Near RST Cancer Hospital, Nagpur",MD (Pathalogy),Government,NO,NO,24x7,ND/BB/15,15-03-1999,1/1/2018,21.123952,79.102367,0
1434,Indira Gandhi Medical College and Hospital Blood Bank,Maharashtra,NAGPUR,Nagpur,"IGMC Hospital, Central Avenue Road, Nagpur ","MBBS, MD (Pathology)",Government,YES,NO,24 Hours,983,7/3/1989,1/1/2018,21.153917,79.092894,0
1435,Daga Memorial Women Government Hospital Blood Bank,Maharashtra,NAGPUR,Nagpur,"Gandhibag, Nagpur",MD (Micro),Government,NO,NO,24 hours,ND/BB/23,14-06-2013,13-06-2018,21.151511,79.105434,0
1436,Central India Institute of Haematology & Oncology&#39;s Blood & Blood Component Bank and Apheresis Unit,Maharashtra,NAGPUR,Nagpur,"Plot No-14/2, Park Corner, Bal Raj Marg, Near Loma Square, Dhantoli, Nagpur","MBBS, MD, DCH",Private,YES,YES,24 hours,ND/BB/23,3/9/2010,2/9/2015,21.134731,79.080223,0
1437,Jeevan Jyoti Blood Bank and Component,Maharashtra,NAGPUR,Nagpur,"J P Chamber, Madhav Nagar, Dakshin Ambakshari Road  Nagpur","MBBS, MD",Charity,YES,YES,24x7,ND/BB/11 (NGP/005),1/1/2008,Applied for renewal,21.123051,79.057149,0
1438,Dr. Hegdewar Blood Bank,Maharashtra,NAGPUR,Nagpur,"2, Sitaram Smruti, West High Court Road, Laxmibhuvan Square, Audumbar Apartment, Dharmpeth, Nagpur ",MBBS,Charity,YES,NO,24 hours,ND/26,23-03-1993,31-12-2017,21.140579,79.060505,0
1439,Sainath Blood Bank,Maharashtra,NAGPUR,Nagpur,"531,Jaiswal Building, Above R.K. Traders, Old shukrawari Road, Sakkardara Nagpur",MD (Pathalogy),Charity,YES,NO,24 hours,ND/BB/21,17-01-2003,18-Jan,21.134294,79.076369,0
1440,Ayush Blood Bank and component Lab,Maharashtra,NAGPUR,Nagpur,"9th Floor, A wing, 901-905, 910-912, Lokmat Building, Nagpur",MD (Pathalogy),Charity,YES,NO,24 hours,ND/BB/27,22-01-2015,22-01-2020,21.135231,79.072978,0
1441,Lifeline Blood Bank Components and Apherisis Centre Blood Bank,Maharashtra,NAGPUR,Nagpur,"Neeti Gaurav complex , 2nd Floor, Central Bazar Road, Lokmat Square, Ramdaspeth, Nagpur ",MD (Pathalogy),Charity,YES,YES,24 hours,ND/BB/18,3/6/2000,1/1/2017,21.138999,79.063093,0
1442,Rainbow Blood Bank,Maharashtra,NAGPUR,Nagpur,"3rd Floor, 282, Rainbow Diagnostic Services Central Bazar Road, Ramdas Peth, Nagpur",MD (Pathalogy),Charity,YES,NO,24 hours,ND/BB/20,1/1/2012,31-12-2016,21.133584,79.072736,0
1443,"NKP Salve Institute of Medical Science and Research Center (Lata Mangeshkar Hospital), Blood Bank",Maharashtra,NAGPUR,Nagpur,"5, YMCA Complex, Digdoh Hills, Hingna Road, Nagpur",MBBS,Charity,YES,NO,24x7,ND/BB/19,15-02-2002,14-02-2017,21.144346,79.078848,0
1444,Nandkishor Education Society Trust - Arpan Voluntary Blood Bank,Maharashtra,NAGPUR,Nagpur,Nagpur,MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1445,Dr. Shankarrao Chavan Government Medical College and Guru Govindsinghji Memorial Hospital Blood Bank,Maharashtra,NANDED,Nanded,"Vazirabad, Nanded ",MD (Pathalogy),Government,YES,YES,24x7,28 C/Ad/BB/004,29-09-1994 ,31-12-2016,19.109305,77.29295,0
1446,Indian Red Cross Society Blood Bank,Maharashtra,NANDED,Nanded,"Parsi Anjuman Complex, Vazirabad, Nanded      ",MD (Pathalogy),Charity,YES,NO,24x7,AD/020 ,12/1/1993,Applied for renewal,17.399811,78.485456,0
1447,Golvalkar Guruji Blood Bank,Maharashtra,NANDED,Nanded,"Plot No.2-12-407, Bandhaghat Road, Vazirabad, Nanded",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,19.168646,77.326553,0
1448,Arpan Blood Bank,Maharashtra,NANDED,Nanded,"2nd Floor, Dayma Complex, Doctor Lane, Ghamodia,Nanded",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,19.161084,77.303022,0
1449,Guru Gobindsinghji Blood Bank,Maharashtra,NANDED,Nanded,"Geeta Bhavan 1 & 2 Floor, House No 3-1-366, Near Government, Opposite to Ayurvedic College, Bus Stand Road, Vazirabad, Nanded          ",MBBS,Charity,YES,NO,24 hours,AD/BB/24,1/6/2012,31-05-2017,19.156029,77.309,0
1450,Nanded Blood Bank,Maharashtra,NANDED,Nanded,"Shivaji Nagar ,Opposite to Adhar Hospital, Nanded ",MD (Pathalogy),Charity,YES,NO,24x7,AD/BB/32 ,29-10-2013 ,28-10-2018,19.161264,77.304543,0
1451,Hazur Saheb Blood Bank,Maharashtra,NANDED,Nanded,"2nd Floor, Opposite to Bank of India, Sant Kripa Market, GG Road, Nanded ",MD (Pathalogy),Charity,YES,NO,24x7,AD/BB/036  ,4/5/2014,4/5/2019,19.153093,77.318654,0
1452,Civil Surgeon - District General Hospital Blood Bank,Maharashtra,NANDURBAR,Nandurbar,"Nandurbar, Railway Station Road Survey No.406, Civil Hospital Compound,  Sakri Road, Near Collector Office Nandurbar  ",MD (Pathalogy),Government,NO,NO,24x7,NKD/41,1/1/2012,31-12-2016,21.33867,74.234768,0
1453,Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ,Maharashtra,NANDURBAR,Nandurbar,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey 
No. 67/3, Plot No. 3, Sahada, Nandurbar",MBBS,Charity,NO,NO,24x7,NKD/53 ,28-02-2013 ,27-02-2018,21.554798,74.472874,0
1454,Jankalyan Rakta Pedhi,Maharashtra,NANDURBAR,Nandurbar,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar ",MD (Pathalogy),Charity,NO,NO,24x7,NKD/30 ,2/1/2005,31-01-2020,21.36433536,74.24463853,0
1455,Malegaon Blood Bank,Maharashtra,NASHIK,Malegaon,"2nd Floor, West End Complex, Satana Naka, Malegaon ",MD (Pathalogy),Charity,YES,YES,24 Hours,NKD/51,29-03-2017,28-03-2022,20.55474,74.524396,0
1456,Seva Blood Bank,Maharashtra,NASHIK,MALEGAON,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik",MBBS,Charity,YES,NO,24x7,NKD-22,24-01-2012,31-12-2016,20.552689,74.516643,0
1457,Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"Vadner Road, Devlali, Nashik",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,19.903354,73.825824,0
1458,Metro Blood Bank - District (Civil) Hospital Nashik,Maharashtra,NASHIK,Nashik,"District - Civil Hospital Blood Bank, Near Thakkar Bazaar,  Trimbak Naka, Nashik",MD (Pathalogy),Government,YES,NO,24x7,NKD/992,4/4/1989,13-12-2020,19.996886,73.778198,0
1459,Sainik Aspatal Military Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"Sainik Aspatal, Military Hospital, Deolali",MD (Pathology),Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,19.9483203,73.841866,0
1460,Ansar Blood Bank,Maharashtra,NASHIK,Nashik,"1398/1, Islampura, Industrial Society Compound, Quidwai Road, Malegaon, Nasik",MBBS,Charity,NO,NO,24x7,NKD/5,28-03-1995,31-12-2012,20.552043,74.532641,0
1461,Arpan Blood Bank and Blood Component Laboratory and Research Centre,Maharashtra,NASHIK,Nashik,"1st Floor, Office No.102/103, Dr. Athawale Chambers, Opposite to Gavkari Press Tilak Path, Nashik 
",MD (Pathalogy),Charity,YES,NO,24x7,NKD/8/96 & NKD/18/99,01-01-2007 & 01-01-2008,31-12-2011 & 31-12-2012,20.004874,73.787164,0
1462,Jankalyan Blood Bank,Maharashtra,NASHIK,Nashik,"3, Shree Nagar, Old Gangapur Naka, Gangapur Road, Nashik
","MBBS, MD (Pathalogy)",Charity,YES,YES,24x7,NKD/33,14-09-2006,13-09-2016,20.008838,73.7702,0
1463,NDMVPS Medical College and Hospital Blood Bank,Maharashtra,NASHIK,Nashik,At Post Adgaon Dist Nashik ,MBBS,Charity,YES,NO,24x7,NKD/316,1/1/2009,31-12-2016,20.037363,73.852998,0
1464,Samta Blood Bank,Maharashtra,NASHIK,Nashik,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik 
",MBBS,Charity,YES,YES,24x7,NKD 40,21-08-2010,20-08-2013,19.984791,73.782607,0
1465,Sanjeevani Blood Bank,Maharashtra,NASHIK,Nashik,"Nashik, Krushna-Chaya Bangla, Plot No. 10/11, Kurdukar Nagar, Behind Fame Theatre, Nashik Pune Road, Nashik ",MBBS,Charity,NO,NO,24x7,NKD/43,3/3/2011,27-02-2016,19.975586,73.803963,0
1466,Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank,Maharashtra,NASHIK,Nashik,"Ishwar Krupa Ganesh Nagar, Tidke Colony, Nashik ",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,19.990656,73.775241,0
1467,The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank ,Maharashtra,NASHIK,Nashik,"Suyojit City Center, G-11, 12, 13, S. No. 567/1/1 & 567/1/3 (CTS No. 7249 & FP No. 60) Mumbai Naka, Near Mahamarg Bus Stand, Nashik 
","MBBS, DCP",Charity,YES,NO,24x7,NKD/54,14-05-2013,13-05-2018,19.987781,73.784138,0
1468,SMBT Institute of Medical Science and Research Centre - Blood Bank and Component,Maharashtra,NASHIK,Nashik,"SMBT Institute of Medical Science & Research Centre, Blood Bank & Component,  Block-101, Ground Floor, A Wing, New SMBT Hospital Building, Survey No. 470, Nandihills Appt., At Post-Dhamangaon, Ghoti, Igatpuri, Nashik
",MD (Pathology),Charity,YES,NO,24x7,NKD/56,21-02-2014,20-02-2019,19.76062,73.769851,0
1469,Hindustan Aeronautics Limited Blood Bank,Maharashtra,NASHIK,Nashik,"HAL, Aircraft Division, HAL, In Front of GES HAL High School, Ojhar Township, Niphad, Nashik
",MBBS,Government,NO,NO,24x7,NKD/37,22-01-2010,21-01-2015,20.105897,73.931932,0
1470,J.D.C. Bytco Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"1st Floor, Bytco Hospital, Nashik Road, Behind Durga Garden, Shahu Path, Nashik","MD, DVD",Government,NO,NO,24x7,NKD/5,30-12-1992,31-12-2016,19.949132,73.838742,0
1471,Regional Referal Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"Medical Superintendent, Regional Referal Hospital (Superspeciality Hospital) Blood Bank, Nashik",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1472,Shri Krishna Blood Bank,Maharashtra,OSMANABAD,Omerga,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad  ","MS, FICS",Charity,YES,NO,24x7,AD/BB/003 ,10/8/1996,31-12-2016,17.83503,76.622149,0
1473,"Civil Surgeon, General Hospital Blood Bank",Maharashtra,OSMANABAD,Osmanabad,"Civil Hospital Osmanabad, Tqand, Osmanabad ",MD (Pathalogy),Government,YES,YES,24x7,28-1026 ,17-09-2012 ,31-12-2017,18.18077,76.034735,0
1474,Civil Surgeon - District General Hospital Blood Bank,Maharashtra,PARBHANI,Parbhani,"Blood Bank Civil Surgeon, District General Hospital Blood Bank, Subhash Road, Parbhani
",MD (Pathalogy),Government,YES,NO,24x7,28-c/AD/BB/005  ,11-Dec,16-Dec,19.271699,76.765032,0
1475,Kanthak Sevabhavi Sanstha - New Life Blood  Bank,Maharashtra,PARBHANI,Parbhani,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani ","MBBS, MD",Charity,YES,NO,24x7,AD/BB/30  ,7/2/2013,7/1/2018,19.273124,76.782625,0
1476,Indian Red Cross Society Blood Bank,Maharashtra,PUNE,Baramati,"Indian Red Cross Society (IRCS), (Late Manikbai Chandulal Saraf) Blood Bank, Near Government Silver Jubilee Hospital, Patas Road, Baramati, Pune",MBBS,Charity,YES,NO,24 Hours ,7269/(FORM-28),1/1/2012,31-12-2016,18.152597,74.574996,0
1477,Pune Chest and General Hospital Blood Bank,Maharashtra,PUNE,Pune,"Aundh Cest Hospital, Aundh Camp, Pune","MBBS, MD",Government,NO,NO,10am to 5pm,862,16-01-1987,Applied for renewal,18.575032,73.80537,0
1478,Sasoon Sarvopchar Hospital Blood Bank,Maharashtra,PUNE,Pune,"Ground Floor, Section 5, Opposite to Central Medical Stores, Station Road, Pune",MD (Pathology),Government,YES,NO,24 hours,963,1/1/2012,31-12-2016,18.515846,73.858714,0
1479,Armed Forces Blood Bank,Maharashtra,PUNE,Pune,"Vanwadi Armed Force Medical College, Pune",MBBS ,Government,YES,YES,10am to 5pm,-,-,31-12-2016,18.505159,73.889694,0
1480,Jankalyan Raktapedhi Pune,Maharashtra,PUNE,Pune,"1003, Shukrawar Peth, Swargate - Saras Baugh Road, Near Natraj Hotel, Pune","MBBS, DCP",Charity,YES,YES,24 hours,PD/03,14-12-1994,16-Dec,18.50092,73.857531,0
1481,Inlaks Budharani Hospital Blood Bank,Maharashtra,PUNE,Pune,"7-9, Koregaon Park, Pune",MD,Charity,YES,NO,10am to 5pm,PD/47,31-03-2009,31-12-2016,18.534391,73.887409,0
1482,Indian Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune",MBBS,Charity,YES,YES,24 Hrs,PD/30,2/2/1993,31-12-2017,18.506291,73.84264,0
1483,Acharya Anandrushiji Blood Bank,Maharashtra,PUNE,Pune,"191-192, New Sadashiv Peth, S. M. Joshi Foundation Building, Near Patrakar Bhavan, Pune",MD,Charity,YES,NO,10am to 5pm,PD/30,3/10/2007,31-12-2016,18.508647,73.844846,0
1484,Akshay Blood Bank,Maharashtra,PUNE,Pune,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune",MD (Pathology),Charity,YES,NO,24x7,PD/11 ,24-04-1998,31-12-2017,18.47143,73.959674,0
1485,Garware Blood Bank - Talegaon Rural Hospital,Maharashtra,PUNE,Pune,"Talegaon Dhabhade, Maval, Pune ","MBBS, DPB",Charity,YES,YES,10am to 5pm,998,30-04-2008,7/1/2018,18.735319,73.675984,0
1486,Jehangir Hospital Blood Bank,Maharashtra,PUNE,Pune,"32, Sasoon Road, Pune ",MD (Pathology),Charity,YES,NO,24 X 7,927,2012,31-12-2016,18.530392,73.876808,0
1487,KEM Hospital Blood Bank,Maharashtra,PUNE,Pune,"Sardar Moodliar Road, Rastha Peth, Pune",MBBS,Charity,YES,NO,10am TO 5pm,pd/36,25-01-2015,2020,18.519784,73.866906,0
1488,Grant Medical Foundation A.H. Wadia Trust Blood Bank,Maharashtra,PUNE,Pune,"40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune",MD (Pathology),Charity,YES,YES,08am to 5pm,PD/15	,1/1/2012,31-12-2017,18.533369,73.876939,0
1489,Bharati Vidyapeeth Medical Foundation Blood Bank,Maharashtra,PUNE,Pune,"Sector - 28, Dhankawadi, Pune Satara Road, Pune",MBBS,Charity,YES,NO,10am to 5pm,PD/83,24-06-2015,23-06-2020,18.459914,73.855994,0
1490,Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank,Maharashtra,PUNE,Pune,"Padmashree, Dr. D. Y. Patil Medical College Hospital, Sant Tukaram Nagar, Pimpari, Pune",MD (Pathology),Charity,YES,NO,10am to 5pm ,PD/21,1/1/2012,31-12-2016,18.624175,73.82126,0
1491,Deenanath Mangeshkar Hospital Blood Bank,Maharashtra,PUNE,Pune,"Erandawane, Near Mhatre Bridge, Pune",MD (Pathology)	,Charity,YES,NO,24x7,PD/81,31-03-2015,30-03-2020,18.502108,73.832232,0
1492,Poona Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"C.T.S. No. 592, 3rd Floor, Dhanwantari Complex, Rasta Peth, Pune",MD (Pathology),Charity,YES,NO,10am to 5pm,PD/32,22-10-2003,21-10-2013,18.516656,73.866532,0
1493,Sahiyadari Speciality Hospital Blood Bank,Maharashtra,PUNE,Pune,"Kokoan Mitra Mandal Medical Port Trust&#39;s Sahiyadari Speciality Hospital Blood Bank, Plot No-30 C, Erandvane, Karve Road, Pune ",MD (Pathology),Charity,YES,NO,10am to 5pm,PD/37	,23-11-2010,22-11-2015,18.513091,73.839308,0
1494,Aditya Birla Memorial Hospital Blood Bank,Maharashtra,PUNE,Pune,"Survey No:31, Near Morya Mangal Karyalay, Thergaon, Chinchwad, Pune ",MD (Transfusion Medicine),Charity,YES,YES,10am to 5pm,PD/39	,19-01-2012	,18-01-2017,18.625716,73.774775,0
1495,Rakesh Jain Memorial Blood Bank,Maharashtra,PUNE,Pune,"Poona Hospital and Reserch Centre 27, Sadashiv Peth, Pune  ",MD (Pathology),Charity,YES,NO,10am to 5pm,PD/41,2/6/2012,17-Jun,18.510752,73.842158,0
1496,Noble Hospital Blood Bank,Maharashtra,PUNE,Pune,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune  ","MBBS, DCP",Charity,YES,YES,24x7,PD/42	,23-10-2012,22-10-2017,18.505035,73.927256,0
1497,Smt Kashibai Navale General Hospital Blood Bank,Maharashtra,PUNE,Pune,"Sr. No. 50/15 building NO.5 2nd Floor, Narhe, Ambegaon, Pune  ",MD (Pathology),Charity,YES,NO,10am to 5pm,PD/44 ,8-Feb,18-Feb,18.45624,73.822183,0
1498,Pimpari Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"Esteem Tower, opposite K.S.B. Pump, Pune-Mumbai Highway, Kharalwadi, Pimpari ","MBBS, MD",Charity,YES,NO,24x7,PD/46		,4/3/2014,20-Jun,18.624322,73.807929,0
1499,Chakan Blood Bank,Maharashtra,PUNE,Pune,"Sr. No. 4976/1/2 Gate No. 2401, Yashwantnagar Ambethan Road. A/P Chakan, Khed, Pune ",MD (Pathology),Charity,YES,NO,10am to 5pm,PD/63	,25-06-2012,24-06-2017,18.762296,73.860866,0
1500,R.G Gholap Memorial Blood Bank,Maharashtra,PUNE,Pune,"Office No. 301, 3rd Floor Ashoka Centre, S. No - 47/14, Satara Road, Parvati, Pune","MBBS, MD (Pathology)",Charity,YES,YES,24 hrs,PD/59                                                                ,29-02-2012  ,29-02-2017,18.487158,73.857098,0
1501,Kranti Mitra Mandal Charitable Trust Blood Bank,Maharashtra,PUNE,Pune,"1st Floor PMT Buiding Gadital, Hadapsar, Pune ",MD (Pathology),Charity,YES,NO,10am to 5pm,PD/57	,18-11-2011,17-11-2016,18.501083,73.939062,0
1502,Krantiveer Chapekar Bandhu Blood Bank,Maharashtra,PUNE,Pune,"Pimpri Chinchwad Mahanagar Palika Talera Hospital, Tanaji Nagar Chinchwad, Pune  ",MD (Pathology),Charity,YES,NO,10am to 6pm,PD-13A	,1/1/2008,31-12-2012,18.625689,73.784672,0
1503,The New Century Medical & Education Foundation Trust - NCORD Blood Bank & Aphaeresis Centre,Maharashtra,PUNE,Pune,"NCORD Blood Bank and Aphaeresis centre, S. No. 241/2/1, Geet Ganga Building, Medipoint Hospital Lane, Baner, Pune","MBBS, MD",Charity,YES,NO,24x7,PD/66  ,8/1/2013,7/1/2018,18.56475,73.800994,0
1504,Ekta Apang Vikas Sanstha Blood Bank,Maharashtra,PUNE,Pune,"Office No. 17/18/19, 1st Floor, Sunshree Woods Commercial Complex, NIBM, Kondhwa, Haveli, Pune",MD (Pathology),Charity,YES,NO,10am to 6pm,PD/67	,25-02-2013,24-02-2018,18.477273,73.90302,0
1505,Chattrapati Shahu Maharaj Pratisthan,Maharashtra,PUNE,Pune,"S.No. 30, 4th floor, office no. 41, 402, 403, and 5th floor off 502, waris Heights, Pune-Satara Road, Dhankwadi, Pune","M.B.B.S, D.C.P/ M.D PATH",Charity,YES,NO,10 AM TO 5 PM,PD/68.  ,31/05/2013,30/05/2018,18.466519,73.857679,0
1506,Chattrapati Shahu Maharaj Pratisthan Blood Bank,Maharashtra,PUNE,Pune,"S. No. 30, 4th Floor, Office No. 41, 402, 403, and 5th Floor off 502, Waris Heights, Pune - Satara Road, Dhankwadi, Pune","MBBS, DCP & MD (Pathology)",Charity,YES,NO,10am to 5pm,PD/68  	,31-05-2013,30-05-2018,18.466161,73.857642,0
1507,M/s. Vidyashree Charitable Trusts Om Blood Bank,Maharashtra,PUNE,Pune,Pune,MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1508,District Civil Surgeon Blood Bank,Maharashtra,RAIGAD,Alibag,"District Hospital Blood Bank, Civil Hospital Campus, Sea Face Road, Alibag  ","MBBS, MD",Government,YES,NO,24 hours.,KD-54,25-10-2013,25-12-2018,18.640782,72.871716,0
1509,Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,Maharashtra,RAIGAD,Mahad,"C.S. No. 1651, Near Lokmanya Vyayamshala, Shiwaji Chowk, Mahad, Raigad",MD (Pathology),Charity,NO,NO,24x7,KD-58,5/12/2008,Applied for renewal,18.082736,73.42265,0
1510,M.B. More Foundation Blood Bank,Maharashtra,RAIGAD,Mangaon,"Ghar. No. 412, 1st Floor, Mangaon, Morba Road, Opposite to Civil Hospital, Mangaon, Raigad
",MBBS,Charity,NO,NO,24x7,KD-48,6/7/2011,2018,19.067134,73.066397,0
1511,Advanced Centre for Treatment Reasearch and Education in Cancer,Maharashtra,RAIGAD,Navi Mumbai,"Owe Village, Sector 22, Plot No. 2, Kharghar, Navi Mumbai ","MBBS, MD",Government,YES,YES,24x7,KD-34 ,8/8/2010,7/8/2015,19.065019,73.064507,0
1512,M/s. Navi Mumbai Blood Bank,Maharashtra,RAIGAD,Navi Mumbai,"Navi Mumbai Blood Bank, Vishwanath Bhavan, C-87, Sector 12, Kharghar, Navi Mumbai","MBBS, MD",Charity,YES,NO,24x7,KD/53 ,19-11-2013 ,18-11-2018,19.034045,73.029533,0
1513,Shree Sai Blood Bank & Component,Maharashtra,RAIGAD,Panvel,"103,104,105,1st Floor Tirthraj Building, Old Thana Naka Road, Near Taluka Police Station,  Old Panvel, Raigad","MBBS, MD",Charity,YES,NO,24x7,KD/30 ,2/5/2003,Applied for renewal,18.99397,73.106561,0
1514,Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,Maharashtra,RAIGAD,Raigad,"Plot No-8, Sect.1, Khanda Colony, Mumbai Pune Road, New Panvel (W) ","MBBS, MD",Charity,YES,YES,24x7,KD/9  ,16-08-1997,Applied for renewal,19.008249,73.108321,0
1515,Civil Surgeon - General Hospital Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"Civil Hospital, Ratnagiri","MBBS, DORL",Government,YES,NO,24x7,KD 52,1/1/2012,31-12-2016,16.989126,73.298866,0
1516,Shree Swami Samarth Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"B.K.L.Walwalkar Hospital Diagnostic & Research Centre, Shree Kshetra Darvan, Chiplun, Ratnagiri",MD (Pathology),Charity,YES,NO,24x7,KD-15  ,30-05-2005,30-05-2010,17.399914,73.547448,0
1517,Indian Red Cross Society Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"Khareghat Road, Ratnagiri",MD (Pathology),Charity,YES,NO,24x7,KD-25,Apr-89,2018,17.019013,73.298977,0
1518,Indian Red Cross Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,Ratnagiri,MBBS,Charity,YES,YES,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
1519,Prakash Blood Bank & Blood Component Seperation Unit,Maharashtra,SANGLI,Mumbai,"Prakash Shikshan Mandal&#39;s Prakash Hospital & Research Centre, Islampur Sangli Road, Uran - Islampur, Tal -Walwa, Dist- Sangli (Ms)
",MD (Pathology),Charity,YES,NO,24x7,PD/82,4/7/2015,4/6/2020,0.0,0.0,0
1520,Padmabhushan Vasantdada Patil Government Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"Padmabhushan Vasantdada Patil Government Hospital , Blood Bank, Dr. Ambedkar Road, Sangli .                                         
","MBBS, DCP  &  MBBS ",Government,NO,NO,24x7,961/28,1/1/2011,31-12-2016,16.852571,74.574678,0
1521,Rajaram Bapu Blood Bank,Maharashtra,SANGLI,Sangli,"Islampur C.S. No. 99/1, Near Islampur Spiral CT-Scan,
Peth-Sangli Road
",MBBS,Charity,YES,NO,24x7,PD/17,28-05-1999,Applied for renewal,17.048399,74.251122,0
1522,Vasantdada Patil Blood Bank and Haematology Research Centre,Maharashtra,SANGLI,Sangli,"AIP - Miraj, Mirasaheb Shopping Complex,  Opposite to City Police Station, Miraj, Sangli","MBBS, DPB",Charity,NO,NO,24x7,740/28,1/1/2008,31-12-2012,16.82132,74.649492,0
1523,Miraj Medical Centre - Wanless Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"Wanless Hospital Blood Bank, Medical Centre, Miraj",MBBS,Charity,YES,NO,24x7,28/406,1/1/2012,31-11-2016,16.832135,74.645472,0
